iter	Passed	Remaining
0	0	80
1	1	76
2	2	71
3	2	64
4	3	61
5	3	59
6	4	57
7	5	58
8	5	58
9	6	59
10	7	59
11	8	59
12	8	59
13	9	58
14	10	58
15	10	57
16	11	55
17	11	54
18	12	53
19	12	51
20	13	50
21	14	49
22	14	48
23	15	47
24	15	46
25	16	45
26	16	45
27	17	44
28	17	43
29	18	42
30	18	41
31	19	41
32	19	40
33	20	39
34	20	38
35	21	38
36	21	37
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	32
44	25	31
45	26	30
46	26	30
47	27	29
48	27	29
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	36	21
63	36	20
64	37	19
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	47	7
86	48	7
87	48	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	53	1
97	54	1
98	54	0
99	55	0
